Method Name,Dataset Name,Domain Index,Best Test Acc (%),Epoch,Log File Path
02_zs0.1_oracle0.1,terra_incognita,2,55.2,4,/workspace/Soft-Prompt-Generation/icml/multi-dg/tuning/02_zs0.1_oracle0.1/TRIP/terra_incognita/b32_ep50/ViT-B16/2/seed_1/warmup_1/log.txt
04_zs0_oracle0.1tau,terra_incognita,4,48.2,29,/workspace/Soft-Prompt-Generation/icml/multi-dg/tuning/04_zs0_oracle0.1tau/TRIP/terra_incognita/b32_ep50/ViT-B16/4/seed_1/warmup_1/log.txt
04_zs0_oracle0.1tau,terra_incognita,3,52.0,7,/workspace/Soft-Prompt-Generation/icml/multi-dg/tuning/04_zs0_oracle0.1tau/TRIP/terra_incognita/b32_ep50/ViT-B16/3/seed_1/warmup_1/log.txt
04_zs0_oracle0.1tau,terra_incognita,2,57.9,10,/workspace/Soft-Prompt-Generation/icml/multi-dg/tuning/04_zs0_oracle0.1tau/TRIP/terra_incognita/b32_ep50/ViT-B16/2/seed_1/warmup_1/log.txt
04_zs0_oracle0.1tau,terra_incognita,1,52.7,1,/workspace/Soft-Prompt-Generation/icml/multi-dg/tuning/04_zs0_oracle0.1tau/TRIP/terra_incognita/b32_ep50/ViT-B16/1/seed_1/warmup_1/log.txt
03_zs0,terra_incognita,4,45.7,42,/workspace/Soft-Prompt-Generation/icml/multi-dg/tuning/03_zs0/TRIP/terra_incognita/b32_ep50/ViT-B16/4/seed_1/warmup_1/log.txt
03_zs0,terra_incognita,3,53.5,26,/workspace/Soft-Prompt-Generation/icml/multi-dg/tuning/03_zs0/TRIP/terra_incognita/b32_ep50/ViT-B16/3/seed_1/warmup_1/log.txt
03_zs0,terra_incognita,2,58.8,27,/workspace/Soft-Prompt-Generation/icml/multi-dg/tuning/03_zs0/TRIP/terra_incognita/b32_ep50/ViT-B16/2/seed_1/warmup_1/log.txt
01_zs0.1,terra_incognita,4,40.2,4,/workspace/Soft-Prompt-Generation/icml/multi-dg/tuning/01_zs0.1/TRIP/terra_incognita/b32_ep50/ViT-B16/4/seed_1/warmup_1/log.txt
01_zs0.1,terra_incognita,3,53.0,14,/workspace/Soft-Prompt-Generation/icml/multi-dg/tuning/01_zs0.1/TRIP/terra_incognita/b32_ep50/ViT-B16/3/seed_1/warmup_1/log.txt
01_zs0.1,terra_incognita,2,57.1,9,/workspace/Soft-Prompt-Generation/icml/multi-dg/tuning/01_zs0.1/TRIP/terra_incognita/b32_ep50/ViT-B16/2/seed_1/warmup_1/log.txt
04_zs0_oracle0.5tau,terra_incognita,4,46.7,41,/workspace/Soft-Prompt-Generation/icml/multi-dg/tuning/04_zs0_oracle0.5tau/TRIP/terra_incognita/b32_ep50/ViT-B16/4/seed_1/warmup_1/log.txt
04_zs0_oracle0.5tau,terra_incognita,3,52.9,10,/workspace/Soft-Prompt-Generation/icml/multi-dg/tuning/04_zs0_oracle0.5tau/TRIP/terra_incognita/b32_ep50/ViT-B16/3/seed_1/warmup_1/log.txt
04_zs0_oracle0.5tau,terra_incognita,2,60.0,27,/workspace/Soft-Prompt-Generation/icml/multi-dg/tuning/04_zs0_oracle0.5tau/TRIP/terra_incognita/b32_ep50/ViT-B16/2/seed_1/warmup_1/log.txt
