step,train/mf_minDist_mean,train/mf_maxW_mean,train/mf_entropy_mean,train/prompt_utilization/p0,train/prompt_utilization/p1,train/prompt_utilization/p2,train/acc_per_prompt/p0,train/acc_per_prompt/p1,train/acc_per_prompt/p2,train/acc_top_prompt,train/weighted_margin_mean,train/mf_sqdist_mean_all
6300,0.002658843994140625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.8125,0.8125,0.8125,0.8125,3.234375,0.0032672882080078125
6350,0.0026378631591796875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,3.095703125,0.00318145751953125
6400,0.00258636474609375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.84375,0.84375,0.84375,0.84375,3.041015625,0.0031681060791015625
6450,0.0026493072509765625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,2.828125,0.0032596588134765625
6500,0.0026397705078125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,3.396484375,0.003208160400390625
6550,0.00262451171875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,2.71484375,0.0031909942626953125
6600,0.0026149749755859375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,3.359375,0.003185272216796875
6650,0.002567291259765625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.8125,0.8125,0.8125,0.8125,3.353515625,0.00315093994140625
6700,0.0026531219482421875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,2.720703125,0.003208160400390625
6750,0.002685546875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.65625,0.65625,0.65625,0.65625,2.275390625,0.0031681060791015625
6800,0.0026340484619140625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,3.40234375,0.0032176971435546875
6850,0.0026416778564453125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.65625,0.65625,0.65625,0.65625,2.412109375,0.0031490325927734375
6900,0.0026378631591796875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.84375,0.84375,0.84375,0.84375,3.361328125,0.003261566162109375
6950,0.002613067626953125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,3.1953125,0.003204345703125
7000,0.0026416778564453125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,2.953125,0.003177642822265625
7050,0.0026302337646484375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.65625,0.65625,0.65625,0.65625,2.720703125,0.0031986236572265625
7100,0.0026531219482421875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,2.8828125,0.0031986236572265625
7150,0.0026607513427734375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,3.07421875,0.0032138824462890625
7200,0.002658843994140625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.84375,0.84375,0.84375,0.84375,3.31640625,0.003269195556640625
7250,0.0026760101318359375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,3.00390625,0.003238677978515625
7300,0.002666473388671875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,2.44921875,0.0031585693359375
7350,0.0026187896728515625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,3.251953125,0.003170013427734375
7400,0.002620697021484375,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,3.306640625,0.003215789794921875
7450,0.0025920867919921875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.78125,0.78125,0.78125,0.78125,2.5625,0.003147125244140625
7500,0.0026874542236328125,0.333251953125,1.0986328125,1.0,0.0,0.0,0.65625,0.65625,0.65625,0.65625,2.68359375,0.003231048583984375
7550,0.0026035308837890625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,2.76171875,0.0031909942626953125
7600,0.0026378631591796875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.71875,2.705078125,0.00316619873046875
7650,0.0026683807373046875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.6875,0.6875,0.6875,0.6875,2.32421875,0.0031490325927734375
7700,0.0027008056640625,0.333251953125,1.0986328125,1.0,0.0,0.0,0.53125,0.53125,0.53125,0.53125,2.6796875,0.00319671630859375
7750,0.002605438232421875,0.333251953125,1.0986328125,1.0,0.0,0.0,0.75,0.75,0.75,0.75,3.49609375,0.00319671630859375
